order_id,order_date,Customers,city,state,product_name,brand_name,category_name,store_name,staffName,total_units,Revenue
1,2016-01-01,Johnathan Velazquez,Pleasanton,CA,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,2,1199.98
1,2016-01-01,Johnathan Velazquez,Pleasanton,CA,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,1,599.99
1,2016-01-01,Johnathan Velazquez,Pleasanton,CA,Surly Straggler - 2016,Surly,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland,2,3098
1,2016-01-01,Johnathan Velazquez,Pleasanton,CA,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,1,2899.99
1,2016-01-01,Johnathan Velazquez,Pleasanton,CA,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,2,3599.98
2,2016-01-01,Jaqueline Cummings,Huntington Station,NY,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,1199.98
2,2016-01-01,Jaqueline Cummings,Huntington Station,NY,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,599.99
3,2016-01-02,Joshua Robertson,Patchogue,NY,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,599.99
3,2016-01-02,Joshua Robertson,Patchogue,NY,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,999.99
4,2016-01-03,Nova Hess,Duarte,CA,Ritchey Timberwolf Frameset - 2016,Ritchey,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,2,1499.98
5,2016-01-03,Arla Ellis,Utica,NY,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,1,599.99
5,2016-01-03,Arla Ellis,Utica,NY,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,429
5,2016-01-03,Arla Ellis,Utica,NY,Surly Straggler - 2016,Surly,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer,2,3098
6,2016-01-04,Sharyn Hopkins,Baldwinsville,NY,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,1099.98
6,2016-01-04,Sharyn Hopkins,Baldwinsville,NY,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,599.99
6,2016-01-04,Sharyn Hopkins,Baldwinsville,NY,Pure Cycles Western 3-Speed - Women's - 2015/2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,449
6,2016-01-04,Sharyn Hopkins,Baldwinsville,NY,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,2,1999.98
6,2016-01-04,Sharyn Hopkins,Baldwinsville,NY,Trek Conduit+ - 2016,Trek,Electric Bikes,Baldwin Bikes,Marcelene Boyer,2,5999.98
7,2016-01-04,Laureen Paul,Bellmore,NY,Electra Moto 1 - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,529.99
7,2016-01-04,Laureen Paul,Bellmore,NY,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,858
7,2016-01-04,Laureen Paul,Bellmore,NY,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,1,999.99
8,2016-01-04,Leslie Higgins,Saratoga Springs,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,1,269.99
8,2016-01-04,Leslie Higgins,Saratoga Springs,NY,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,1199.98
9,2016-01-05,Neil Mccall,San Carlos,CA,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,2,7999.98
10,2016-01-05,Alane Munoz,Yonkers,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,269.99
11,2016-01-05,Tarra Guerrero,Auburn,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,2,539.98
11,2016-01-05,Tarra Guerrero,Auburn,NY,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,1199.98
11,2016-01-05,Tarra Guerrero,Auburn,NY,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,1799.99
12,2016-01-06,Marvin Mullins,San Diego,CA,Surly Straggler 650b - 2016,Surly,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland,1,1680.99
12,2016-01-06,Marvin Mullins,San Diego,CA,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,2,5799.98
